Smiles,Inchi Key
CC(C/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1)N(C)C,OAASKINNJUWLMI-WGPBWIAQSA-N
COC(=O)C(N)CCCNC(=N)N[N+](=O)[O-],KCWZGJVSDFYRIX-UHFFFAOYSA-N
CCN(CC)S(=O)(=O)c1ccc(C(=O)NCC(=O)NCCCc2ccccc2)cc1,DTLPCCKUYHPFDA-UHFFFAOYSA-N
Cn1cc(C(=O)OCC(=O)Nc2ccccc2Cl)c2ccccc21,GJRKVGLPQSNSCF-UHFFFAOYSA-N
O=C(NCc1ccccc1)c1cc(C2COCCN2C(=O)c2ccccc2)on1,FGDAZKVTZICWBW-UHFFFAOYSA-N
Cc1cc(NC(=S)NNC(=O)c2cccnc2Oc2ccccc2)ccc1Br,AVEOBSQKVNAPTA-UHFFFAOYSA-N
CC(C(N)=O)N1c2cccc3cccc(c23)S1(=O)=O,OCZQWBISMDLSEK-UHFFFAOYSA-N
O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCCc1ccc(Cl)cc1,SXJUXJRJKAMBPF-UHFFFAOYSA-N
N#Cc1nc(N2CC[C@H](S(=O)(=O)c3ccc(-n4cccn4)cc3Cl)C2)cc(C(F)(F)F)n1,YPPSEJUJIDXPJF-ZDUSSCGKSA-N
CC(=O)Nc1ccc(S(=O)(=O)c2sc3ncccc3c2-c2ccc(Cl)cc2)cc1,PHNVTEGJIIUIFF-UHFFFAOYSA-N
Cc1cccc(NC(=O)CSc2nnc3c4c(c(C#N)c(Nc5ccccc5)n23)CC(C)(C)OC4)c1,KEAGVTGHCJWSRR-UHFFFAOYSA-N
CCC1C(=O)N/C(=N\c2ccc(OC(C)C)cc2)N(Cc2ccc(Cl)cc2)C1=O,XGPQUZZKSLWFAZ-UHFFFAOYSA-N
Cc1ccc(Nc2nc(NCC(F)(F)F)c3nc[nH]c3n2)cc1,HVYKDBUSMZPNKZ-UHFFFAOYSA-N
CN1C(=O)C(Cc2ccc(C(C)(C)C)cc2)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21,QNNDEUPIIBUQDX-UHFFFAOYSA-N
O=C1c2c(-c3ccccc3)cc(N3CCC(N4CCCC4)CC3)nc2OCCCN1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,AFBDOVSBEISTQY-UHFFFAOYSA-N
CC1CN(C2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CC(C)O1.O=C(O)C(=O)O,CAQMAPBXQIMRLX-UHFFFAOYSA-N
Cc1cc(C(C)(C)C)ccc1OCCN(C)C,FTYOSVOSXOLKLF-UHFFFAOYSA-N
O=C1NC2(CCCCC2)N=C1c1ccccc1,XZKWZMSPSMVVCZ-UHFFFAOYSA-N
COc1cc(N2CCC(Oc3ccc(F)cc3F)CC2)c(NC(=O)c2cccnc2OC)cn1,LKHDGPNZGMDTQT-UHFFFAOYSA-N
O=S1NC(Cc2ccc3cccc(Cl)c3c2)=NO1,ZMJSINXUFGXMIH-UHFFFAOYSA-N
[O-][N+]1=C(c2ccccc2Cl)c2cc(Cl)ccc2-c2ncncc2C1,WMLKIRMQFYNVCP-UHFFFAOYSA-N
C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(CC(=O)O)cc1,BGZQSZZZEVNBPB-UHFFFAOYSA-N
c1ccc(-c2csc3ncnc(Sc4nnc5ccccn45)c23)cc1,VTWTZEHOBOADIH-UHFFFAOYSA-N
O=C1C2C3CC4C(OC(C42)N1c1ccccc1)C3O,YYCZYYFGCLAYJS-UHFFFAOYSA-N
CC(=O)N1CCSc2ccc(S(=O)(=O)NCCc3ccc(C)cc3)cc21,CNINCCFOLKJUNS-UHFFFAOYSA-N
Cc1ccccc1C(=O)NCCN1CCOCC1,GLAVCDLFQQONEK-UHFFFAOYSA-N
NC(=O)CCC(NC(=O)OCc1ccccc1)C(=O)O,JIMLDJNLXLMGLX-UHFFFAOYSA-N
COCCN1C2CCC1c1c(n(C)c3ccc(S(=O)(=O)c4ccc5[nH]ccc5c4)cc13)C2,BXAFTHRBIYMCOI-UHFFFAOYSA-N
Cc1cnc(C(=O)OCC(=O)N2CC(C)CC(C)C2)cn1,CDNCXSBSIGOTBR-UHFFFAOYSA-N
O=c1[nH]nc2c3c(cccc13)N[C@@H](c1ccc(CN3CCC3)cc1)[C@@H]2c1ccc(F)cc1,UMTZOWPWZLHANK-UPVQGACJSA-N
CN(C)c1nc(N)n2nc(-c3ccco3)nc2n1,NKEUCELRWWKAGP-UHFFFAOYSA-N
CCN(CC)c1nc(C#N)nc(OC)n1,FAOCUCIKWLQPRI-UHFFFAOYSA-N
COc1ccc(OC)c(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)c1,ZLTFOMZLNGWJLI-UHFFFAOYSA-N
Cc1nc([C@@H]2CCOC2)c2c(N3CCc4cnn(CC(F)(F)F)c4C3)ncnn12,OCGGLSQFJOWXTE-CYBMUJFWSA-N
Cc1cnc(C2CN(c3ccc(C(F)(F)F)cn3)CCN2C(=O)C2CCS(=O)(=O)CC2)s1,YBTJOTKCDWXHNX-UHFFFAOYSA-N
CCc1c(C)sc(NC(=O)c2cc(C3CC3)on2)c1C#N,TZNWDLLWEJLMRI-UHFFFAOYSA-N
COc1cc(/C=C/C(=O)N2CCC=CC2=O)c(Cl)c(OC)c1OC,FERHDMHSEIVAAO-BQYQJAHWSA-N
O=C1c2cc(-c3ccc(OCC4CCC4)cc3)ccc2OCCN1Cc1ncccn1,NOSGHHSOTXLUOC-UHFFFAOYSA-N
CC(F)(F)c1nn2cc(-c3cc4ccc(OCc5ccccc5)cc4o3)nc2s1,XJYCSAVVRADENJ-UHFFFAOYSA-N
OC(c1ccc(F)cc1)(C1CCCCC1)C(CN1CCOCC1)c1ccccc1,KIELZMVDBJNNDM-UHFFFAOYSA-N
CCNc1cc(C)nc(Nc2ccc(NC(=O)C3CCCC3)cc2)n1,ZVRNVGABOZFAGJ-UHFFFAOYSA-N
CCOc1ccc(NS(=O)(=O)c2ccc3nc(O)cc(C(=O)O)c3c2)cc1,HKSDYVVCYJKCRE-UHFFFAOYSA-N
CCOc1ccc(-n2ccn3c(SC(C)C(=O)Nc4ccc(OC)cc4)nnc3c2=O)cc1,AJMGGPFFAUFJLA-UHFFFAOYSA-N
Cn1c(-c2ccc3c(c2)OCO3)cc(=O)c2ccccc21,COBBNRKBTCBWQP-UHFFFAOYSA-N
COc1cc(C(=O)NC(C)c2ccc3ccccc3c2)cc(Cl)c1O,MOHPATRPLWJMGH-UHFFFAOYSA-N
COc1ccc(NC(=S)NN=C2Cc3ccccc3C2)cc1,UOCOSGYGYWYBHS-UHFFFAOYSA-N
CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1,BQPFJKYLPCZFDB-BFHYXJOUSA-N
S=C(NCc1ccncc1)Nc1ccccc1,VUGOCNWJAQLFOT-UHFFFAOYSA-N
CCOc1ccc(NC(=S)N2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,KKNDYTPYJFGXKQ-UHFFFAOYSA-N
Clc1cc(Cl)nc(NCCc2c[nH]c3ccccc23)n1,FACDOVKICWCFJQ-UHFFFAOYSA-N
Cc1cc(C)nc(Nc2ncc(O)n2-c2ccc(Br)cc2)n1,WJUNDLLTCRWEEW-UHFFFAOYSA-N
NC(=O)c1cc(NC(=O)c2cc(-c3cccc(CC(F)F)n3)ccc2Cl)n(-c2ccccc2)n1,FEXWVJCHYHKQCY-UHFFFAOYSA-N
C[C@H](F)c1nc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)co1,UTYIZWMPBOJMLJ-DGOADCAFSA-N
CC1(C)O[C@H]2CCCO[C@@]2(COS(N)(=O)=O)O1,JVSDDGIQDGRFGK-CBAPKCEASA-N
Cc1c(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)oc2ccc(Br)cc12,BQYRVARYDSJDJF-NRFANRHFSA-N
CCC(=O)c1ccc(OCC(O)Cn2cnc3ccccc32)cc1,YIGMVHQWYSYFGD-UHFFFAOYSA-N
CCOc1ccccc1NC(=O)c1sc2nc(C)cc(C)c2c1N,NWPBIINCRFZSIN-UHFFFAOYSA-N
COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(C)c(S(=O)(=O)N3CCCCC3)c2)cc1,GRDZSVKSWHZAPH-UHFFFAOYSA-N
CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CSSC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H]([C@@H](C)CC)NC1=O)C(=O)N[C@@H](CO)C(=O)N4)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccc(O)cc1)NC3=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N2,UDSXFWUGVXXOFC-SQHXPHCLSA-N
CCN(Cc1ccc2c(c1)OCCO2)C(=O)NCCc1cnn(C)c1,FZDNPRCKDNZFJI-UHFFFAOYSA-N
NC[C@H](Cc1ccccc1)Nc1ncnc2c(C(N)=O)cccc12,OQISTSSMSVJSIA-ZDUSSCGKSA-N
COC(=O)c1ccc2c(c1)Nc1ccccc1O2,SBUBGCBNETYVPK-UHFFFAOYSA-N
c1cncc(-c2noc(CN3CCC4CCCCC4C3)n2)c1,OODAZHFXYDAPFA-UHFFFAOYSA-N
Cc1cc(C)c(NC(=O)CSc2nnc3[nH]c(=O)cc(C)n23)c(C)c1,VRCVWBLBRDUFTN-UHFFFAOYSA-N
Cc1ccc(-n2cnc3cc(C(=O)N4CCc5ccccc54)ccc32)c(C)c1,YFIHMZPJZXRZEL-UHFFFAOYSA-N
CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(C(F)(F)F)c2)CC3)n1,VKASQTLXSYSDGQ-UHFFFAOYSA-N
O=C(O)C1(Cc2nc3cc(OCc4ccc5ccccc5n4)ccc3n2Cc2ccc(-c3ccc(C(F)(F)F)nc3)cc2)CCCC1,ARETZXICCILTLH-UHFFFAOYSA-N
O=C(Cn1ccc2ccccc21)Nc1nnc(CCSCCc2nnc(NC(=O)Cn3ccc4ccccc43)s2)s1,MJAJWZWFTQWGID-UHFFFAOYSA-N
COc1ccc(C(=O)CSc2nnc(C)s2)cc1,QHCSIWSQYWQLGA-UHFFFAOYSA-N
CC1CCc2c(sc3ncnc(SCC(=O)N(C)C4CCS(=O)(=O)C4)c23)C1,KOBDYNZIRHPFFW-UHFFFAOYSA-N
CCc1ccc(NC(=O)Cn2c(=O)n(-c3ccccc3C)c(=O)c3c2c2cc(OC)ccc2n3C)cc1,RWRZVYYHXHQQKU-UHFFFAOYSA-N
Oc1cccc(-c2cccnc2)c1,RFCXGTDHKLXNER-UHFFFAOYSA-N
Cn1c(SCCCN2CC[C@]3(C[C@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1nccs1,YMMKVLDFUKHZTJ-UWJYYQICSA-N
CC1(C)NC(=O)N(CNc2ccc(F)cc2)C1=O,LPMIDTZXCMEXEY-UHFFFAOYSA-N
CCn1nccc1NC(=O)c1ccc(C)c(NC(=O)c2cnn(-c3ccccc3)c2N)c1,CVMGGAWNRBFLIQ-UHFFFAOYSA-N
CCCNc1nccc(N2CC[C@@H](Oc3ccc(C(C)C(=O)NCC)cc3)C2)c1F,XEOULHMACFMTHS-LRTDYKAYSA-N
CC(=O)Nc1ccc2c3c4c(cccc4cc2c1)C(=O)N(CCN(C)C)C3=O,HELOOGGYOBJYPP-UHFFFAOYSA-N
CCOc1ccc(S(=O)(=O)N(CC(=O)Nc2cc(C)on2)Cc2ccccc2Cl)cc1,LKNHCWRIQYSGKQ-UHFFFAOYSA-N
CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CC[N@@](C2)[C@@H]13.Cl,IKJFDJLQPHDRTD-ISYVNWANSA-N
CC(C)CN(CCCNC(=O)CN1N=C(c2ccccc2)CCC1=O)CC(C)C,RGTKBZBFZSVKLZ-UHFFFAOYSA-N
CCc1cc2c(cc1N1CCC(N3CCN(C(=O)CCOCCOCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,MPDFMYRBKDKUKC-UHFFFAOYSA-N
CC(O)c1cccc(NC(=O)C2CCCCC2)c1,ZCCKEVCADASSSM-UHFFFAOYSA-N
CN(Cc1ccccc1F)C(=O)CN1CCN(S(=O)(=O)c2ccc3c(c2)OCCCO3)CC1,QEDUANQJMUCQRJ-UHFFFAOYSA-N
Cc1cccc(N2CCN(C(=O)CCCCCn3c(=S)[nH]c4ccc(N5CCOCC5)cc4c3=O)CC2)c1C,KMLNVYUKYBOEGN-UHFFFAOYSA-N
OCCN(CCO)c1nc2ccccc2[nH]1,AXHVAQJODYIXFO-UHFFFAOYSA-N
COC(=O)C1=C(N)Oc2cc(C)nc(O)c2C1c1cccnc1,NSCYRQTWDJXZNG-UHFFFAOYSA-N
COc1ccc(C)cc1NC(=O)Nc1cccc(C)c1,LBQKOLVBCKNFBP-UHFFFAOYSA-N
CCCCNCc1cc(Br)c(OCC(=O)NCc2ccccc2)c(OC)c1.Cl,FIUDUCQPUKJUHB-UHFFFAOYSA-N
COc1ccc(Cn2c(-c3ccc(C)cc3)c[n+]3ccccc23)cc1.[Br-],BCQLUFTVCRPODZ-UHFFFAOYSA-M
COc1ccc(CCN(C)CCCC2(c3ccc(OC)c(OC)c3)S(=O)(=O)CCCS2(=O)=O)cc1OC,ZROUQTNYPCANTN-UHFFFAOYSA-N
CC(C)(C)c1cccc(-c2ccc[nH]c2=O)c1,OCDNGTPNEHVSMA-UHFFFAOYSA-N
COc1ccc(/C=N/NC(=O)C(C)n2nnc3ccccc32)cc1OC,VWRKPUAXYXGVHK-YBFXNURJSA-N
COC(=O)c1c(SC)nc2ccccc2c1OCc1cccc(C)c1,KLMJMJCMHNFFTP-UHFFFAOYSA-N
COc1cc(C#Cc2sc(NC(=O)NCCOCC3CC3)nc2C)cnc1OC,NXINHUNNPLATCI-UHFFFAOYSA-N
NC(=O)C(NC1CCC(c2c[nH]c3ccccc23)CC1)C1CCN(C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,KDXMKTNMKGKCQD-UHFFFAOYSA-N
COc1cc2c3c(c4ccc(O)cc4c2cc1OC)C[C@H]1CCCN1C3,DSYIHAGYTDJTNX-CYBMUJFWSA-N
CC(C)=CCc1cc([C@H]2Oc3c(ccc(O)c3CC=C(C)C)C(=O)[C@@H]2O)ccc1O,LAQLCZKPJGMFRM-BJKOFHAPSA-N
COC(=O)c1ccccc1-c1ccc2c(c1)CCC2NC(=O)C1(NC(=O)C(F)(F)F)CC1,YZQADYQMEREVHM-UHFFFAOYSA-N
COc1cccc(C(=O)Nc2cc(S(=O)(=O)N3CCCCC3)ccc2OC)c1,JCVSYWFXBGHWIT-UHFFFAOYSA-N
O=C(Nc1cc(S(=O)(=O)N2CCCCC2)ccc1Oc1ccccc1)C1=COCCO1,DEZXZRTWVQDZCS-UHFFFAOYSA-N
CCOC(=O)N1C=CC(C)=C[C@@H]2[C@@H](N3C(=O)c4ccccc4C3=O)C(=O)N21,GZGWASQYURNJLM-HUUCEWRRSA-N
COc1cccc(OC)c1OCCCSc1nc(C)cc(O)n1,JYMXYNCNTYQZBI-UHFFFAOYSA-N
O=[N+]([O-])c1ccc2c(c1)Cc1cc(Cl)ccc1-2,HJFWZNLUJDRROD-UHFFFAOYSA-N
CC(C)(C)OC(=O)NCC(=O)O,VRPJIFMKZZEXLR-UHFFFAOYSA-N
Cc1ccc(NC(=O)Cn2cc(C(=O)C3CCCCC3)c3ccccc32)c(C)c1,CIXDGGFTDWCMLK-UHFFFAOYSA-N
COc1ccc(C)cc1NS(=O)(=O)c1ccc(Br)s1,MFLPTNSPWVMAAU-UHFFFAOYSA-N
Cn1nc(-c2ccc(C(N)=O)cc2)s/c1=N\C1CCCCC1O,OAYFBDCWIKYBAY-VLGSPTGOSA-N
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5(N)CCOCC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5cc4F)c3)CC2)=C(c2ccc(Cl)cc2)C1,TYQMOIOXSPFZDQ-UHFFFAOYSA-N
Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1c(Cl)cncc1Cl)C(=O)N3CC2,YNSCYOBZGPPEEP-QFIPXVFZSA-N
CCOC(=O)c1sc(NC(=O)CNC(=O)Cn2cnc3sc(C)c(C)c3c2=O)nc1C,IWRPJACIGPZZSD-UHFFFAOYSA-N
CCC[C@H](Nc1cc(C)nc(-c2ccc(NC(=O)NCC)c(OC)c2)n1)c1cccnc1,QCNUQZOJWJEVSM-IBGZPJMESA-N
CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CCCCN)CN(CC(N)=O)C(=O)CCCN,WEHXHLWOWGEINY-ZDQMOETHSA-N
C[C@H](NC(=O)/C=C/c1ccccc1F)c1cccc(-n2cncn2)c1,KPXTWHYAWJDFLL-HBWSCVEGSA-N
COc1cc2c(-c3ccccc3)c(C)oc2cc1CN1CCN(Cc2ccccc2)CC1,RQIUJKJPQZDZJX-UHFFFAOYSA-N
Cc1ccc2[nH]c(C(=O)O)c(NC(=O)CN3CCN(c4cccc(C)c4C)CC3)c2c1,DOVZOBMYWGMKJK-UHFFFAOYSA-N
CO[C@H]1CC[C@]2(CC1)Cc1ccc(Br)cc1C21N=C(C)C(N)=N1,NYMXIKPEDWDOQL-KSVBBAIVSA-N
